timecode;cpu;memory_byte;memory
1013;0.065220234;435884032;436
1024;0.065220234;435884032;436
1036;0.065220234;436281344;436
1047;0.056711828;436281344;436
1059;0.056711828;436281344;436
1070;0.060906646;435982336;436
1082;0.060906646;436158464;436
1093;0.060906646;436158464;436
1105;0.0555239;436158464;436
1116;0.0555239;436158464;436
1128;0.061347516;436322304;436
1139;0.061347516;435359744;435
